sep=,
testName,fps,fillrate,trianglerate,windowWidth,windowHeight,colorsBits,depthBits,windowFrame,clearBuffers,scene,trianglesCount,realTrianglesCount,scene2_trianglesPixels,scene3_planesCount,wireFrame,blending,runSeconds,triangleStrip,textureFileName1,textureFileName2,polygonNoColor,textureFilter,isMultitexture,disableMultitexture
Pixel_Fillrate,9.910804,56246144,1586,640,480,32,0,0,0,3,10,8,1000,20,0,0,10,0,,,0,0,0,0
Pixel_Blend_Fillrate,59.582920,33814712,953,640,480,32,0,0,0,3,10,8,1000,2,0,1,10,0,,,0,0,0,0
Trianglerate,3.134796,1779071,623561,640,480,32,0,0,0,3,100000,99458,1000,2,0,0,10,1,,,0,0,0,0
Trianglerate_NoStrip,2.382843,676160,236993,640,480,32,0,0,0,3,100000,99458,1000,1,0,0,10,0,,,0,0,0,0
Tx_Trianglerate_NoStrip,1.757469,498703,174794,640,480,32,0,0,0,3,100000,99458,1000,1,0,0,20,0,texture1.bmp,,0,1,0,0
Tx_Pixel_Fillrate,29.732410,16873844,476,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,,0,1,0,0
Tx_Pixel_Blend_Fillrate,29.791464,16907358,477,640,480,32,0,0,0,3,10,8,1000,2,0,1,10,0,texture1.bmp,,0,1,0,0
sep=,
testName,fps,fillrate,trianglerate,windowWidth,windowHeight,colorsBits,depthBits,windowFrame,clearBuffers,scene,trianglesCount,realTrianglesCount,scene2_trianglesPixels,scene3_planesCount,wireFrame,blending,runSeconds,triangleStrip,textureFileName1,textureFileName2,polygonNoColor,textureFilter,isMultitexture,disableMultitexture
Pixel_Fillrate_Z,9.930486,56357844,1589,640,480,32,24,0,0,3,10,8,1000,20,0,0,10,0,,,0,0,0,0
Pixel_Blend_Fillrate_Z,58.589859,33251126,937,640,480,32,24,0,0,3,10,8,1000,2,0,1,10,0,,,0,0,0,0
Trianglerate_Z,2.952756,1675759,587350,640,480,32,24,0,0,3,100000,99458,1000,2,0,0,10,1,,,0,0,0,0
Trianglerate_NoStrip_Z,2.375297,674018,236242,640,480,32,24,0,0,3,100000,99458,1000,1,0,0,10,0,,,0,0,0,0
Tx_Trianglerate_NoStrip_Z,1.703578,483410,169434,640,480,32,24,0,0,3,100000,99458,1000,1,0,0,20,0,texture1.bmp,,0,1,0,0
Tx_Pixel_Fillrate_Z,29.761904,16890582,476,640,480,32,24,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,,0,1,0,0
Tx_Pixel_Blend_Fillrate_Z,29.732414,16873846,476,640,480,32,24,0,0,3,10,8,1000,2,0,1,10,0,texture1.bmp,,0,1,0,0
sep=,
testName,fps,fillrate,trianglerate,windowWidth,windowHeight,colorsBits,depthBits,windowFrame,clearBuffers,scene,trianglesCount,realTrianglesCount,scene2_trianglesPixels,scene3_planesCount,wireFrame,blending,runSeconds,triangleStrip,textureFileName1,textureFileName2,polygonNoColor,textureFilter,isMultitexture,disableMultitexture
Multi-Tx_Pixel_Fillrate,19.801977,11238089,317,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,texture2.bmp,0,1,0,0
Multi-Tx_Pixel_Fillrate_multipass,19.841270,11260388,317,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,texture2.bmp,0,1,0,1
Tx_Pixel_Fillrate_No_Color,29.761904,16890582,476,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,,1,1,0,0
Tx_Pixel_Fillrate_No_Filtering,29.761908,16890584,476,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture1.bmp,,0,0,0,0
Tx_Pixel_Blend_Fillrate_No_Filtering,29.880480,16957876,478,640,480,32,0,0,0,3,10,8,1000,2,0,1,10,0,texture1.bmp,,0,0,0,0
Lowres_Tx_Pixel_Fillrate,59.523808,33781164,952,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture_l.bmp,,0,1,0,0
Lowres_Tx_Pixel_Fillrate_No_Filtering,59.405933,33714268,950,640,480,32,0,0,0,3,10,8,1000,2,0,0,10,0,texture_l.bmp,,0,0,0,0
Driver_overhead_Trianglerate,5.836575,5836575,58366,640,480,32,0,0,0,2,10000,10000,100,1,0,0,10,1,,,0,0,0,0
sep=,
testName,fps,fillrate,trianglerate,windowWidth,windowHeight,colorsBits,depthBits,windowFrame,clearBuffers,scene,trianglesCount,realTrianglesCount,scene2_trianglesPixels,scene3_planesCount,wireFrame,blending,runSeconds,triangleStrip,textureFileName1,textureFileName2,polygonNoColor,textureFilter,isMultitexture,disableMultitexture
Lowres_Tx_Pixel_Fillrate_Z,59.523808,33781164,952,640,480,32,24,0,0,3,10,8,1000,2,0,0,10,0,texture_l.bmp,,0,1,0,0
Lowres_Tx_Pixel_Fillrate_No_Filtering_Z,59.582920,33814712,953,640,480,32,24,0,0,3,10,8,1000,2,0,0,10,0,texture_l.bmp,,0,0,0,0
